Date,Last Price,Volume
11/15/2017,2565,1900941
11/14/2017,2578,1573219
11/13/2017,2582,1044536
11/10/2017,2579.5,1178663
11/9/2017,2584,2203891
11/8/2017,2591,1037057
11/7/2017,2586.75,1152813
11/6/2017,2588.75,828740
11/3/2017,2582.75,974513
11/2/2017,2576.75,1262640
11/1/2017,2574.75,1269785
10/31/2017,2572.75,1021252
10/30/2017,2568.25,1190925
10/27/2017,2578.5,1543852
10/26/2017,2561.5,1361504
10/25/2017,2558.5,2088185
10/24/2017,2567.25,1035758
10/23/2017,2563.5,1217936
10/20/2017,2574,1236659
10/19/2017,2560.5,1346925
10/18/2017,2560,738261
10/17/2017,2557,728656
10/16/2017,2556.25,780973
10/13/2017,2552.75,905072
10/12/2017,2549.5,924519
10/11/2017,2553,804892
10/10/2017,2548.5,1141304
10/9/2017,2543.75,719501
10/6/2017,2545,1138029
10/5/2017,2550,1086185
10/4/2017,2536.25,943600
10/3/2017,2532.75,836809
10/2/2017,2526.25,1113226
9/29/2017,2516,1325100
9/28/2017,2507.75,1097115
9/27/2017,2504.5,1562400
9/26/2017,2495.5,1136782
9/25/2017,2497,1527029
9/22/2017,2499.5,1008511
9/21/2017,2501,1110754
9/20/2017,2505.25,1214848
9/19/2017,2504.75,952378
9/18/2017,2502.75,1076633
9/15/2017,2496,54760
9/14/2017,2496.5,402602
9/13/2017,2496.5,602757
9/12/2017,2496,1028939
9/11/2017,2487.5,1305963
9/8/2017,2462.5,1212116
9/7/2017,2466.5,1514891
9/6/2017,2465.5,1553109
9/5/2017,2459.75,2102839
9/1/2017,2474.25,1025982
8/31/2017,2470,1701193
8/30/2017,2455.75,1280219
8/29/2017,2447,1606329
8/28/2017,2443.75,925259
8/25/2017,2442.5,1181314
8/24/2017,2440.75,1389728
8/23/2017,2441.5,1230848
8/22/2017,2452.75,1357110
8/21/2017,2428,1320240
8/18/2017,2426.75,2181421
8/17/2017,2429.5,2218607
8/16/2017,2467.5,1128960
8/15/2017,2463.75,1050857
8/14/2017,2463.5,1460697
8/11/2017,2440,1645294
8/10/2017,2437.5,2307321
8/9/2017,2473,1546074
8/8/2017,2472.75,1360425
8/7/2017,2477.5,586256
8/4/2017,2472,1056850
8/3/2017,2471.75,1079166
8/2/2017,2473.5,1292615
8/1/2017,2472.25,1036810
7/31/2017,2468,1184133
7/28/2017,2470.25,1138605
7/27/2017,2472,1642155
7/26/2017,2473.25,950620
7/25/2017,2474,1067744
7/24/2017,2468.5,847057
7/21/2017,2469.5,1080206
7/20/2017,2471.25,1095397
7/19/2017,2471.5,941160
7/18/2017,2457.75,1072350
7/17/2017,2458.5,846768
7/14/2017,2456,1076239
7/13/2017,2445.5,934983
7/12/2017,2440,1129422
7/11/2017,2424.5,1127920
7/10/2017,2424.5,849888
7/7/2017,2422.5,1249140
7/6/2017,2408.5,1590195
7/5/2017,2428,1276362
7/3/2017,2425,750433
6/30/2017,2421,1614299
6/29/2017,2420,2329022
6/28/2017,2438.5,1545009
6/27/2017,2420.5,1625794
6/26/2017,2436,1257593
6/23/2017,2435,1187845
6/22/2017,2431.75,1048845
6/21/2017,2433.5,1362536
6/20/2017,2437.5,1322839
6/19/2017,2447.5,1213287
6/16/2017,2434.89,47304
6/15/2017,2434.25,470125
6/14/2017,2437.25,680887
6/13/2017,2440,1027097
6/12/2017,2428.5,1248108
6/9/2017,2430.5,1580087
6/8/2017,2432.5,1440605
6/7/2017,2432,1405067
6/6/2017,2430.75,1344999
6/5/2017,2434.5,876858
6/2/2017,2437.75,1712391
6/1/2017,2429.5,1426040
5/31/2017,2411,1712282
5/30/2017,2410.75,1030338
5/26/2017,2413.75,859823
5/25/2017,2413.5,1309737
5/24/2017,2402,975714
5/23/2017,2398,1021864
5/22/2017,2392.75,1108280
5/19/2017,2381.5,1654206
5/18/2017,2363.5,2446565
5/17/2017,2357.5,2784613
5/16/2017,2397,1068724
5/15/2017,2398.5,1025998
5/12/2017,2388.75,1069025
5/11/2017,2391,1349506
5/10/2017,2395.25,992071
5/9/2017,2393.25,1100123
5/8/2017,2395,948984
5/5/2017,2397.75,1117083
5/4/2017,2385.5,1216759
5/3/2017,2383.25,1069079
5/2/2017,2385.75,949709
5/1/2017,2387,897581
4/28/2017,2380.5,1145074
4/27/2017,2386,1100596
4/26/2017,2382.25,1480057
4/25/2017,2385,1313467
4/24/2017,2370,1532426
4/21/2017,2347.5,1257878
4/20/2017,2352,1445311
4/19/2017,2333.75,1237406
4/18/2017,2337.25,1424462
4/17/2017,2345,970895
4/13/2017,2327.5,1574295
4/12/2017,2340.75,1521451
4/11/2017,2351,1844449
4/10/2017,2352.5,1345921
4/7/2017,2352.25,1459651
4/6/2017,2353.75,1576103
4/5/2017,2346.5,1925443
4/4/2017,2356.5,1203495
4/3/2017,2356,1696546
3/31/2017,2359.25,1537333
3/30/2017,2364.5,1158742
3/29/2017,2357,1146485
3/28/2017,2351.5,1609213
3/27/2017,2338.5,1599064
3/24/2017,2344.75,1586782
3/23/2017,2340,1623363
3/22/2017,2342.5,1867679
3/21/2017,2342.25,2561718
3/20/2017,2370.25,1068659
3/17/2017,2385.8,42536
3/16/2017,2382.75,373164
3/15/2017,2383.75,603215
3/14/2017,2366.5,940754
3/13/2017,2375,1037046
3/10/2017,2371.75,1342959
3/9/2017,2366.25,1770104
3/8/2017,2364,1624271
3/7/2017,2366.5,1287556
3/6/2017,2375.5,1359673
3/3/2017,2381.25,1336318
3/2/2017,2382,1730192
3/1/2017,2393.5,2128134
2/28/2017,2362.75,1568227
2/27/2017,2368.25,1147391
2/24/2017,2365,1534649
2/23/2017,2362.75,1552446
2/22/2017,2361,1285982
2/21/2017,2360,1621224
2/17/2017,2348,1376784
2/16/2017,2345.5,1728823
2/15/2017,2350.5,1512296
2/14/2017,2337,1381949
2/13/2017,2326.25,1199878
2/10/2017,2312.75,1165082
2/9/2017,2304.25,1347083
2/8/2017,2290.25,1277856
2/7/2017,2288.5,1191892
2/6/2017,2286.5,1157602
2/3/2017,2291,1405520
2/2/2017,2275.5,1409287
2/1/2017,2274.5,1552967
1/31/2017,2274.5,1614719
1/30/2017,2276,1839106
1/27/2017,2289,935648
1/26/2017,2294,1158788
1/25/2017,2294,1373506
1/24/2017,2274.5,1259276
1/23/2017,2262,1425498
1/20/2017,2266,1709890
1/19/2017,2261.5,1380107
1/18/2017,2266.5,1105488
1/17/2017,2262.75,1532405
1/13/2017,2272.5,1183362
1/12/2017,2263.5,1747172
1/11/2017,2270.5,1728267
1/10/2017,2263.75,1300368
1/9/2017,2265,1019957
1/6/2017,2271.5,1542214
1/5/2017,2264.25,1312627
1/4/2017,2264.25,1385650
1/3/2017,2252.5,1787898
12/30/2016,2236.25,1252004
12/29/2016,2245,883279
12/28/2016,2245.25,976944
12/27/2016,2261,490809
12/23/2016,2260,391513
12/22/2016,2258.75,832335
12/21/2016,2260.5,649932
12/20/2016,2266.5,806369
12/19/2016,2260,920943
12/16/2016,2268.63,49846
12/15/2016,2263.5,461219
12/14/2016,2257,762001
12/13/2016,2273.25,1050261
12/12/2016,2256,1011851
12/9/2016,2260,1074015
12/8/2016,2247.75,2103332
12/7/2016,2236.75,2316709
12/6/2016,2210,1475806
12/5/2016,2204.25,1654461
12/2/2016,2192,1666803
12/1/2016,2192,2145896
11/30/2016,2198.75,1931936
11/29/2016,2203.75,1369657
11/28/2016,2200.75,1362563
11/25/2016,2211.25,549990
11/23/2016,2200.75,1091330
11/22/2016,2200.25,1248668
11/21/2016,2193,1198721
11/18/2016,2180.75,1268896
11/17/2016,2184.25,1343037
11/16/2016,2172.75,1321970
11/15/2016,2179.25,1425105
11/14/2016,2160.5,1782604
11/11/2016,2161.5,1876388
11/10/2016,2167.25,3121001
11/9/2016,2160.25,5251690
11/8/2016,2135.5,1746007
11/7/2016,2129,1753667
11/4/2016,2080,2053530
11/3/2016,2083.5,1790385
11/2/2016,2092.25,2005691
11/1/2016,2103.75,2248261
10/31/2016,2120,1356597
10/28/2016,2123.75,2378169
10/27/2016,2123.5,1792363
10/26/2016,2134,1537900
10/25/2016,2138,1191225
10/24/2016,2144.25,1004191
10/21/2016,2134.75,1404835
10/20/2016,2137,1602595
10/19/2016,2138,930618
10/18/2016,2132,1129535
10/17/2016,2123,1246192
10/14/2016,2127,1834488
10/13/2016,2126.25,2175906
10/12/2016,2131.5,1465871
10/11/2016,2134.5,2231047
10/10/2016,2159,948489
10/7/2016,2146.5,1952389
10/6/2016,2156.5,1204885
10/5/2016,2153.25,1364517
10/4/2016,2144.75,2136480
10/3/2016,2153.25,1396518
9/30/2016,2160.5,1970339
9/29/2016,2148.5,2301830
9/28/2016,2163.25,1727031
9/27/2016,2152.75,1646591
9/26/2016,2139.75,1589775
9/23/2016,2158,1437077
9/22/2016,2168.25,1520099
9/21/2016,2156.25,1820963
9/20/2016,2131,1384209
9/19/2016,2133,1521664
9/16/2016,2139.96,57778
9/15/2016,2145,396046
9/14/2016,2120.25,660376
9/13/2016,2128.75,1197641
9/12/2016,2158.5,1444391
9/9/2016,2122.75,2069594
9/8/2016,2177.5,2081302
9/7/2016,2184.5,1456179
9/6/2016,2184.5,1618652
9/2/2016,2178,1689404
9/1/2016,2167.25,1940121
8/31/2016,2169.5,1840324
8/30/2016,2175.25,1370618
8/29/2016,2179.25,1237476
8/26/2016,2168.5,2520471
8/25/2016,2173.5,1498109
8/24/2016,2175,1498544
8/23/2016,2185.25,1122043
8/22/2016,2181.5,1541071
8/19/2016,2181.75,1425490
8/18/2016,2183.5,1195395
8/17/2016,2179.75,1691822
8/16/2016,2176.75,1388816
8/15/2016,2186,1080696
8/12/2016,2180.25,1264278
8/11/2016,2181.75,1319494
8/10/2016,2172.75,1368393
8/9/2016,2177.5,1189624
8/8/2016,2175.5,938624
8/5/2016,2176.75,1363948
8/4/2016,2159.25,1236750
8/3/2016,2157,1360657
8/2/2016,2152.75,1956705
8/1/2016,2164.5,1652633
7/29/2016,2168.25,1694118
7/28/2016,2164.75,1616439
7/27/2016,2160.5,1630338
7/26/2016,2163.25,1604347
7/25/2016,2162.25,1255515
7/22/2016,2167.5,1122014
7/21/2016,2158,1296350
7/20/2016,2167.5,1127419
7/19/2016,2158.75,1147388
7/18/2016,2160,1191446
7/15/2016,2152.75,1490858
7/14/2016,2157.25,1771801
7/13/2016,2146,1609928
7/12/2016,2145.75,1691878
7/11/2016,2130.25,1459630
7/8/2016,2120.5,1935584
7/7/2016,2092,1659861
7/6/2016,2094,2047526
7/5/2016,2082.75,1858691
7/1/2016,2096.25,1648070
6/30/2016,2090.25,2282547
6/29/2016,2066.75,2052803
6/28/2016,2028.5,2272790
6/27/2016,1985,2972761
6/24/2016,2018.5,4135082
6/23/2016,2105.75,1308321
6/22/2016,2076.75,1402829
6/21/2016,2080.5,1394626
6/20/2016,2074.25,1592550
6/17/2016,2079.12,52547
6/16/2016,2079.25,423774
6/15/2016,2071.75,607373
6/14/2016,2074.5,1159913
6/13/2016,2078.75,1220867
6/10/2016,2096.25,1233697
6/9/2016,2114.25,1643544
6/8/2016,2118,1299671
6/7/2016,2110.25,1110603
6/6/2016,2108.25,1259978
6/3/2016,2097.75,1738184
6/2/2016,2103.75,1282372
6/1/2016,2098,1310762
5/31/2016,2095,1606673
5/27/2016,2097.25,1027854
5/26/2016,2089.75,966381
5/25/2016,2087.25,1438011
5/24/2016,2075,1591313
5/23/2016,2045.25,1177953
5/20/2016,2050,1571765
5/19/2016,2038.75,2052205
5/18/2016,2041.5,2076690
5/17/2016,2043.5,1976187
5/16/2016,2062.75,1413480
5/13/2016,2043.5,1867129
5/12/2016,2058.75,1792611
5/11/2016,2058,1459270
5/10/2016,2077.5,1400565
5/9/2016,2054.25,1363929
5/6/2016,2052.75,1808770
5/5/2016,2044,1431702
5/4/2016,2047,1551545
5/3/2016,2057,1820986
5/2/2016,2074.25,1296317
4/29/2016,2059,2399687
4/28/2016,2072.5,1925295
4/27/2016,2090.75,1418675
4/26/2016,2088.5,1216501
4/25/2016,2083.25,1271999
4/22/2016,2086,1486065
4/21/2016,2082.75,1633196
4/20/2016,2098,1460332
4/19/2016,2093.75,1557462
4/18/2016,2086.75,1389594
